Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Не указано,"25 ноября 2024, отредактирован","Отличная локация - свежий воздух и 10 мин до центра города. Новые, чистые номера по типу апартаментов с общей на один танхаус (из 5 номеров) кухонной зоной и холлом. Наши гости останавливались весной и повторно осенью - за это время сменились владельцы и название. Учет бронирования ведётся вручную, поэтому мы переживали, чтобы наши номера были свободны. Но всё прошло отлично. К сожалению, не в каждом номере есть телевизор - администрации необходимо устранить эту недоработку.",5,Five Villas Hotel,4.6,108
Куаныш Кульбеков,7 апреля 2025,"Отлично провели время в апартаментах . Приехали с родственниками и детьми на той Кыз узату. Очень отличная локация. Доброжелательный персонал , понравился администратор Дауренбек очень вежливый и приятный человек, отзывчивый, решает охотно любой вопрос, всегда всё делает от души. Также горничные вежливые приятные хорошие люди, помогли при глажке одежды , главное денег не просят берут сколько тебе не жалко дать . Короче проблем не было . Ну там были некоторые мелочи но это ничего страшного например в одном номере вода с канализации плохо уходило , но это решаемый вопрос ничего страшного. Вкратце всем советую главное везде чисто и без неприятных запахов.",5,Five Villas Hotel,4.6,108
Svetlana Snatkova,"23 марта 2025, отредактирован","Хороший отель в тихом районе,есть семейные номера,что очень удобно.Тепло. Из минусов - синтетических одеяла,от которых летят искры даже сквозь постельное белье и не убраные веранды ( хотя к лету возможно их помоют). Завтраки маленькие. В ванне не хватает стаканов, поставить щётки некуда",4,Five Villas Hotel,4.6,108
Gulzhamal Shaken,"7 марта 2025, отредактирован","Грязно, пыльно, не уютно. Но фотках одно, в живую другое. Не хочу возвращаться. В ванне было не только пыльно, но и волосы были. Туалет грязный, с ржачиной, в принципе раковина также. Ковры на ванной...как будьто прошли солдаты. Халат принесли только на след.день после 2 раз обращении.попросила утюга, не дождалась. Завтрак так себе, кстати, ложки и вилки были не совсем чистые.",2,Five Villas Hotel,4.6,108
Руслан Рахманов,6 марта 2025,Даурен жаксы екен.,5,Five Villas Hotel,4.6,108
Eugene Horohorin,28 февраля 2025,"Милый, гостеприимный отель. Принял нас когда дорога на шимбулак оказалась закрыта из за непогоды",5,Five Villas Hotel,4.6,108
Apple User,13 января 2025,"Невероятно уютная гостиница с потрясающим видом на горы! Мы провели здесь несколько дней, и это было настоящее наслаждение. Номера просторные, чистые и очень комфортные, а из окна открывается панорама, которая просто завораживает.

Особого внимания заслуживает завтрак — настоящий праздник вкуса! Свежие продукты, ароматная выпечка и горячий кофе создают прекрасное утро. Есть блюда на любой вкус, и всё подаётся в очень уютной обстановке.

Персонал — отдельный плюс! Вежливые, внимательные, готовые помочь в любое время. Они всегда советовали интересные маршруты для прогулок и отвечали на все вопросы.

Если вы ищете место, где можно отдохнуть душой и телом, насладиться природой и комфортом, то эта гостиница — идеальный выбор. Обязательно вернёмся снова!",5,Five Villas Hotel,4.6,108
Азода Ахмедова,7 января 2025,"Шикарный отель. Комната огромная , с гардеробной и сан узлом, террасой.Завтраки вкусные, дали даже больше порций чем положено! Гостиница стала нашим открытием! Обязательно вернемся",5,Five Villas Hotel,4.6,108
Айсулу Адилбек,"10 декабря 2024, отредактирован","Супер !!!! бізге қатты ұнады, бағасы да тиімді! комфорт қой комфорт🔥😍🤪",5,Five Villas Hotel,4.6,108
Махмудхожа Мансуров,16 ноября 2024,"Хороший отель
Заселились рано утром
Персонал очень отзывчивый
Обслуживание на все 200 %
В номерах чисто уютно тепло
Всем рекомендую кто приезжает в гости в Алматы
Все достопримечательности рядом горы
Рядом
Завтраки очень вкусные",5,Five Villas Hotel,4.6,108
